labels,nbr,X,Y,Z,radius,sph_phi,sph_phi_besa,sph_theta,sph_theta_besa,theta
EOG_R2,1,0.6946583704589974,-0.7193398003386511,0.0,0.5,0.0,44.0,-46.0,90.0,46
2,2,0.7836002378184705,-0.5693188977302336,0.2486898871648548,0.42,14.400000000000002,54.0,-36.0,75.6,36
3,3,0.7716342848848006,-0.4455032620941839,0.4539904997395468,0.35,27.000000000000004,60.0,-30.0,62.99999999999999,30
4,4,0.7328016404336241,-0.23810168640866858,0.6374239897486896,0.28,39.599999999999994,72.0,-18.0,50.400000000000006,18
5,5,0.5995135640034849,-0.12743054183912148,0.7901550123756904,0.21,52.2,78.0,-12.0,37.8,12
6,6,0.39714789063478056,-0.0,0.9177546256839811,0.13,66.6,90.0,-0.0,23.400000000000002,0
7,7,0.1764815894978394,0.1282213801801646,0.9759167619387474,0.07,77.4,-54.0,36.0,-12.59999999999999,-36
8,8,0.8660254037844387,-0.49999999999999994,0.0,0.5,0.0,60.0,-30.0,90.0,30
FP2,9,0.9101704491300632,-0.3312749515920437,0.2486898871648548,0.42,14.400000000000002,70.0,-20.0,75.6,20
10,10,0.8424632196002839,-0.2900833496892929,0.4539904997395468,0.35,27.000000000000004,71.0,-19.0,62.99999999999999,19
11,11,0.7705132427757894,-0.0,0.6374239897486896,0.28,39.599999999999994,90.0,-0.0,50.400000000000006,0
12,12,0.5995135640034849,0.12743054183912148,0.7901550123756904,0.21,52.2,-78.0,12.0,-37.8,-12
13,13,0.3212993928037005,0.23343767309418803,0.9177546256839811,0.13,66.6,-54.0,36.0,-23.400000000000002,-36
14,14,0.9455185755993168,-0.3255681544571567,0.0,0.5,0.0,71.0,-19.0,90.0,19
15,15,0.9685831611286311,-0.0,0.2486898871648548,0.42,14.400000000000002,90.0,-0.0,75.6,0
16,16,0.8910065241883679,-0.0,0.4539904997395468,0.35,27.000000000000004,90.0,-0.0,62.99999999999999,0
17,17,0.9822872507286886,-0.0,-0.18738131458572477,0.56,-10.80000000000001,90.0,-0.0,100.80000000000001,0
18,18,0.8424632196002839,0.2900833496892929,0.4539904997395468,0.35,27.000000000000004,-71.0,19.0,-62.99999999999999,-19
19,19,0.7328016404336241,0.23810168640866858,0.6374239897486896,0.28,39.599999999999994,-72.0,18.0,-50.400000000000006,-18
20,20,0.4958522223775357,0.36025772716325116,0.7901550123756904,0.21,52.2,-54.0,36.0,-37.8,-36
21,21,0.9455185755993168,0.3255681544571567,0.0,0.5,0.0,-71.0,19.0,-90.0,-19
FP1,22,0.9101704491300632,0.3312749515920437,0.2486898871648548,0.42,14.400000000000002,-70.0,20.0,-75.6,-20
23,23,0.7716342848848006,0.4455032620941839,0.4539904997395468,0.35,27.000000000000004,-60.0,30.0,-62.99999999999999,-30
F3,24,0.6233583077965633,0.45289632079965897,0.6374239897486896,0.28,39.599999999999994,-54.0,36.0,-50.400000000000006,-36
25,25,0.8660254037844387,0.49999999999999994,0.0,0.5,0.0,-60.0,30.0,-90.0,-30
26,26,0.7836002378184705,0.5693188977302336,0.2486898871648548,0.42,14.400000000000002,-54.0,36.0,-75.6,-36
27,27,0.6409364552100961,0.6189451401610268,0.4539904997395468,0.35,27.000000000000004,-46.0,44.0,-62.99999999999999,-44
28,28,0.44194823995262567,0.631167497971528,0.6374239897486896,0.28,39.599999999999994,-35.0,55.0,-50.400000000000006,-55
29,29,0.2971432359278009,0.5360605877696362,0.7901550123756904,0.21,52.2,-29.0,61.0,-37.8,-61
30,30,0.14232507523302743,0.3707694971212825,0.9177546256839811,0.13,66.6,-21.0,69.0,-23.400000000000002,-69
31,31,-0.0746093826879714,0.20498759421465007,0.9759167619387474,0.07,77.4,20.0,110.0,-12.59999999999999,-110
EOG_L1,32,0.6946583704589974,0.7193398003386511,0.0,0.5,0.0,-44.0,46.0,-90.0,-46
33,33,0.5416248301243933,0.8029918327197691,0.2486898871648548,0.42,14.400000000000002,-34.0,56.0,-75.6,-56
34,34,0.41830222536313777,0.7867120657537187,0.4539904997395468,0.35,27.000000000000004,-28.0,62.0,-62.99999999999999,-62
35,35,0.22527627030180147,0.7368454785989883,0.6374239897486896,0.28,39.599999999999994,-17.0,73.0,-50.400000000000006,-73
C3,36,0.01069670300862973,0.6128137049400232,0.7901550123756904,0.21,52.2,-1.0,89.0,-37.8,-89
37,37,-0.13583257847639466,0.3731969421901923,0.9177546256839811,0.13,66.6,20.0,110.0,-23.400000000000002,-110
38,38,0.42261826174069944,0.9063077870366499,0.0,0.5,0.0,-25.0,65.0,-90.0,-65
